Dijkstra;1,26666;3466
BellmanFord;3,31616;4324
Dijkstra;1,20666;4324
BellmanFord;3,25848;4497
Dijkstra;1,2584;4497
BellmanFord;3,03964;4240
Dijkstra;1,3133;4240
BellmanFord;2,51762;2266
Dijkstra;1,35378;2266
BellmanFord;3,33724;3043
Dijkstra;1,26864;3043
BellmanFord;2,81254;2994
Dijkstra;1,26198;2994
BellmanFord;2,68846;4003
Dijkstra;1,276;4003
BellmanFord;2,65962;2877
Dijkstra;1,21266;2877
BellmanFord;3,0991;2018
Dijkstra;1,23394;2018
BellmanFord;2,68128;2053
Dijkstra;1,252;2053
BellmanFord;3,71338;4051
Dijkstra;1,22354;4051
BellmanFord;3,04922;3842
Dijkstra;1,23896;3842
BellmanFord;3,46824;1759
Dijkstra;1,3057;1759
BellmanFord;3,08302;4365
Dijkstra;1,28692;4365
BellmanFord;3,43364;4055
Dijkstra;1,19758;4055
BellmanFord;2,82172;3146
Dijkstra;1,30434;3146
BellmanFord;3,6289;4709
Dijkstra;1,22536;4709
BellmanFord;3,22842;3255
Dijkstra;1,1748;3255
BellmanFord;3,58548;4115
Dijkstra;1,23968;4115
BellmanFord;3,48938;4326
Dijkstra;1,21004;4326
BellmanFord;3,0682;2583
Dijkstra;1,30266;2583
BellmanFord;2,92656;1322
Dijkstra;1,2757;1322
BellmanFord;3,33684;3808
Dijkstra;1,28262;3808
BellmanFord;3,728;4456
Dijkstra;1,30012;4456
BellmanFord;3,95132;3361
Dijkstra;1,32374;3361
BellmanFord;3,02854;3443
Dijkstra;1,2387;3443
BellmanFord;3,0487;3030
Dijkstra;1,33934;3030
BellmanFord;2,7218;1968
Dijkstra;1,2461;1968
BellmanFord;3,18332;3320
Dijkstra;1,26414;3320
BellmanFord;3,87062;1695
Dijkstra;1,29336;1695
BellmanFord;3,74836;1763
Dijkstra;1,32564;1763
BellmanFord;3,62388;3723
Dijkstra;1,317;3723
BellmanFord;2,91766;3131
Dijkstra;1,34078;3131
BellmanFord;3,29868;2902
Dijkstra;1,20904;2902
BellmanFord;3,25228;2104
Dijkstra;1,23868;2104
BellmanFord;3,44548;6641
Dijkstra;1,23922;6641
BellmanFord;3,36182;3725
Dijkstra;1,24332;3725
BellmanFord;3,04908;4459
Dijkstra;1,24394;4459
BellmanFord;2,6805;4688
Dijkstra;1,25138;4688
BellmanFord;2,90964;1844
Dijkstra;1,33272;1844
BellmanFord;3,47094;5384
Dijkstra;1,28662;5384
BellmanFord;3,38764;2285
Dijkstra;1,27122;2285
